Transaction_ID,Employee_ID,Transaction_Amount,Discount,Approval_Level,Bank_Account_Change,Order_Receiver,Customer_ID,Order_Status,Transaction_Date,Order_Status_Date,Is_Fraudulent
48,2,2565.061302424078,3.501008470046292,Manager,False,24,80,Cancelled,2023-10-28,2023-11-02,False
49,2,8535.955515802207,22.087405874471845,Employee,False,21,5,Ordered,2023-10-01,2023-10-22,False
50,14,1813.1660679548852,10.799387750805638,Employee,True,24,58,Invoiced,2023-11-29,2023-12-11,False
51,14,9409.220094286231,6.319952118675971,Manager,True,4,101,Shipped,2022-11-02,2022-12-03,False
52,4,4863.988770044133,6.685401782308263,Employee,False,2,56,Cancelled,2022-06-15,2023-12-07,False
53,6,2291.966284479218,9.567684988542823,Senior Manager,False,5,17,Hold,2023-11-14,2023-12-30,False
54,10,4441.2285004443465,0.7509480562642445,Manager,False,8,4,Cancelled,2023-05-14,2023-05-26,False
55,3,8399.841023404635,18.653784366427256,Senior Manager,True,18,30,Shipped,2022-06-18,2023-06-01,False
56,11,2229.187316861166,16.167453763178518,Manager,False,5,86,In Progress,2022-01-14,2023-10-06,False
57,1,6335.485102250183,12.083534166774918,Manager,True,16,47,Cancelled,2023-11-26,2023-12-05,False
58,19,9166.086748299158,21.26025808135261,Senior Manager,False,9,87,In Progress,2023-11-13,2023-12-03,False
59,18,7765.171119499081,13.125381706300365,Manager,True,12,117,Cancelled,2023-09-08,2023-10-12,False
60,1,5406.931125291852,6.066642854632931,Employee,True,17,38,Invoiced,2023-01-02,2023-04-30,False
61,3,6964.957479961095,20.152826735278953,Manager,False,1,6,Hold,2023-11-19,2023-12-09,False
62,2,4261.724718094899,27.40835777077885,Employee,False,22,12,Ordered,2022-04-13,2022-05-02,False
63,24,407.57494326055223,2.257780459583162,Senior Manager,False,12,33,Hold,2022-11-09,2023-11-26,False
64,2,1208.9890022965953,12.85554798364428,Senior Manager,False,4,94,Ordered,2023-04-24,2023-09-19,False
65,18,7161.4002910374775,24.954108886686605,Manager,False,21,47,Ordered,2023-10-29,2023-12-17,False
66,24,8797.308124783623,10.73289826488236,Manager,True,3,1,Hold,2022-01-19,2022-04-23,False
67,1,2838.8824647091524,3.0863842834523556,Senior Manager,False,14,23,Hold,2022-02-19,2022-11-26,False
68,12,8289.376471339066,5.872371246487931,Manager,False,24,96,Ordered,2023-09-26,2023-11-23,False
69,13,2147.5813076659288,7.231149025730685,Employee,True,2,111,Shipped,2022-03-27,2023-05-07,False
70,2,2810.6185934389487,26.443473070426286,Employee,True,12,113,In Progress,2023-11-06,2023-12-21,False
71,9,7448.3285237191885,18.564580313132847,Senior Manager,True,3,117,Cancelled,2022-05-02,2022-07-02,False
72,22,8591.874754845478,8.820839499604563,Manager,True,24,96,Cancelled,2022-08-23,2023-09-03,False
73,13,7145.255661451415,25.01843250990823,Senior Manager,False,20,85,Hold,2023-01-05,2023-03-13,False
74,18,7652.137909876674,4.504334280616091,Employee,False,10,111,Invoiced,2022-06-16,2023-07-05,False
75,12,4351.365279446771,29.893500220157204,Manager,True,3,54,Invoiced,2022-12-24,2023-11-05,False
76,12,961.7082420908773,14.702299072990263,Employee,False,18,23,Hold,2023-06-13,2023-11-21,False
77,18,7717.53684023612,7.708608096623316,Senior Manager,False,4,3,Ordered,2022-05-13,2022-11-20,False
78,14,5165.374724270611,7.117660020653217,Manager,True,20,69,Shipped,2022-11-02,2023-12-01,False
79,7,3189.8688238890804,19.03725151340388,Manager,True,9,10,Hold,2022-09-23,2023-01-30,False
80,4,8077.113025661785,16.480995880437238,Employee,False,20,49,Hold,2022-09-19,2023-12-06,False
81,2,2204.257772188425,4.697716712400441,Manager,True,17,13,Cancelled,2023-06-09,2023-09-17,False
82,10,7519.348033352951,19.48023153071858,Senior Manager,True,10,79,Ordered,2023-01-04,2023-04-05,False
83,13,7716.427095872302,13.138541977446677,Senior Manager,True,20,81,Invoiced,2022-11-09,2023-10-04,False
84,14,6605.84198057194,4.86253865861845,Senior Manager,True,5,37,In Progress,2023-10-08,2023-12-18,False
85,14,1590.8942899834544,11.349932176099273,Employee,True,8,81,Ordered,2023-05-06,2023-11-01,False
86,15,6131.253334687817,19.289865612623085,Manager,True,2,120,In Progress,2023-09-30,2023-11-07,False
87,22,8734.176432621123,8.747072548380116,Manager,True,18,96,Ordered,2023-06-20,2023-07-15,False
88,10,1573.3135543872743,14.246526682859932,Manager,True,14,64,In Progress,2022-10-01,2023-01-06,False
89,1,7893.926045065107,24.71177615823762,Manager,True,7,106,Ordered,2022-07-06,2022-10-21,False
90,16,3256.5992229356953,7.052603105552978,Senior Manager,False,5,43,Cancelled,2022-07-06,2023-11-03,False
91,12,6141.7797863026435,17.6794662057733,Employee,True,24,77,Hold,2023-01-25,2023-02-25,False
92,3,5967.369849209486,1.7178946970329279,Manager,True,23,112,Hold,2022-09-25,2023-01-06,False
93,7,7834.8838198798985,20.899513667637684,Senior Manager,True,13,98,Ordered,2022-02-25,2022-07-12,False
94,8,311.55144769108085,28.92665488595644,Manager,False,21,20,Shipped,2023-03-10,2023-09-04,False
95,13,8098.730865971483,1.958537317352912,Employee,False,4,53,In Progress,2023-09-14,2023-11-02,False
96,21,6018.898506707637,27.28041618555474,Senior Manager,False,10,65,Shipped,2023-01-30,2023-11-01,False
97,10,3260.555425046417,13.654771297131266,Employee,False,9,89,Cancelled,2022-07-05,2022-12-03,False
98,2,4386.114368740112,3.0022675767495866,Employee,True,16,19,Ordered,2022-09-18,2023-10-11,False
99,16,2096.9896116203295,15.563651698480532,Senior Manager,False,16,9,Hold,2023-06-19,2023-09-27,False
100,19,5598.660675829045,22.19604822311886,Employee,False,23,65,Invoiced,2023-02-17,2023-10-19,False
101,4,1188.8874522716242,6.706279772357009,Manager,False,9,17,In Progress,2022-06-18,2022-11-05,False
102,21,2042.7451758725215,7.926431911284418,Manager,True,21,98,Ordered,2022-07-14,2022-12-09,False
103,19,8400.53695257861,2.0334370941301962,Employee,True,24,16,Cancelled,2022-12-17,2023-12-02,False
104,10,1012.1481954843031,26.028985815362994,Senior Manager,False,18,34,Ordered,2023-11-07,2023-12-23,False
105,6,5707.888162706282,28.38828569443812,Employee,False,10,106,Cancelled,2022-09-28,2023-05-05,False
106,10,6309.771642935583,27.102348904270468,Employee,True,19,18,In Progress,2022-09-12,2023-10-08,False
107,15,3192.502762134154,27.292632646574184,Employee,False,7,101,Invoiced,2023-12-03,2023-12-16,False
108,16,1609.490347226375,12.389664058036123,Employee,True,15,66,Hold,2023-05-06,2023-08-06,False
109,10,3256.9569125186626,20.154867905261234,Employee,False,1,102,Shipped,2023-04-16,2023-08-06,False
110,3,2701.7441018526315,22.86000167943681,Senior Manager,True,15,104,Ordered,2023-04-22,2023-10-07,False
111,22,9143.363786289596,8.778729911285058,Manager,False,4,25,Ordered,2023-07-12,2023-11-28,False
112,9,4459.040152059181,1.0768404085364869,Senior Manager,True,12,104,In Progress,2022-08-31,2023-10-05,False
113,11,2169.2301025591983,2.598513418684707,Employee,True,4,52,Ordered,2023-11-06,2023-11-11,False
114,17,1291.3142906802736,12.684964139650889,Employee,True,5,2,Shipped,2022-11-01,2023-03-05,False
115,16,917.4056924082817,0.4092546834434929,Manager,False,10,37,Ordered,2022-11-25,2023-02-06,False
116,6,2337.6885783875214,2.0300207743787366,Manager,True,24,111,Ordered,2022-11-20,2023-05-22,False
117,13,5406.060691325914,27.28812752172417,Manager,False,2,4,In Progress,2022-08-14,2022-09-18,False
118,14,8009.424663807061,26.366336058739442,Senior Manager,True,24,69,Hold,2022-02-19,2022-08-20,False
119,18,9587.093570057123,25.27977675200621,Manager,False,19,24,Cancelled,2023-06-25,2023-11-17,False
120,16,9158.612496007017,2.7704808346697654,Manager,True,5,14,Ordered,2022-02-12,2022-10-27,False
121,4,1654.751416221612,8.478178031110232,Senior Manager,False,23,1,Cancelled,2022-07-15,2022-11-09,False
122,23,6893.3194853073755,27.61058965766733,Senior Manager,False,11,76,Ordered,2023-06-27,2023-06-30,False
123,24,9308.011109520414,27.683713193115942,Senior Manager,False,12,16,In Progress,2022-05-05,2023-12-27,False
124,7,173.251669601382,11.77458358552113,Employee,False,20,116,Invoiced,2023-08-27,2023-09-19,False
125,21,5715.385873576316,29.36992943646335,Senior Manager,True,3,83,Hold,2023-12-01,2023-12-26,False
126,12,2305.165992081603,19.02908874733721,Senior Manager,False,8,59,Hold,2022-10-19,2023-11-09,False
127,3,6041.177420977148,27.384129517704128,Employee,True,11,113,Ordered,2023-01-18,2023-11-25,False
128,4,9146.119201055848,7.950166381445558,Manager,False,13,53,Cancelled,2022-06-30,2022-09-12,False
129,6,2081.1738834517505,9.998616591392182,Employee,False,1,89,Invoiced,2022-09-22,2023-11-30,False
130,13,8538.888126797412,17.61295059920425,Manager,False,3,35,Shipped,2023-07-23,2023-08-26,False
131,11,5672.296753677066,18.462359144078093,Senior Manager,True,24,66,Invoiced,2023-06-18,2023-08-30,False
132,15,9272.283618913778,14.674149121099099,Senior Manager,False,24,33,Ordered,2023-08-17,2023-09-18,False
133,24,8960.442562339385,16.283236156883394,Employee,False,18,102,In Progress,2022-11-06,2023-11-28,False
134,2,1281.5038620910152,16.81114335402724,Employee,True,19,40,Shipped,2022-08-13,2022-12-11,False
135,16,2166.508220133825,11.96868001897505,Employee,False,1,5,Hold,2022-08-05,2023-11-03,False
136,13,7742.355082705861,5.948225699572579,Senior Manager,True,18,73,Shipped,2022-10-25,2023-12-28,False
137,15,2775.534329641023,10.392974600433847,Senior Manager,True,4,51,Hold,2022-01-01,2023-10-09,False
138,6,9247.887281223017,28.336924736530307,Senior Manager,False,1,61,In Progress,2022-06-15,2023-02-02,False
139,19,9665.643254898372,7.8437514764299525,Employee,True,9,2,Invoiced,2022-11-10,2022-12-13,False
140,11,9125.796988515065,25.32658956701033,Manager,True,2,78,Invoiced,2023-08-14,2023-12-15,False
141,7,1754.1168821003619,7.372980979999456,Manager,True,24,14,In Progress,2022-04-05,2023-03-27,False
142,9,5365.501171366934,16.681230150787624,Manager,False,22,4,In Progress,2022-02-26,2022-07-24,False
143,17,2794.8194652006373,2.299245531372743,Senior Manager,True,12,10,In Progress,2022-09-15,2023-03-23,False
144,6,5450.949825507757,26.808569986783912,Employee,False,17,71,Cancelled,2022-08-11,2023-03-16,False
145,17,7091.905355476926,23.459358904155184,Senior Manager,False,18,82,Invoiced,2022-06-20,2022-10-23,False
146,7,1217.0132847925802,14.288994611015356,Employee,False,18,33,Cancelled,2022-11-04,2023-11-24,False
147,6,7175.924260712216,14.123538306312362,Senior Manager,True,24,86,Ordered,2022-05-02,2022-12-28,False
148,3,2930.5874997337937,15.260208124774799,Manager,True,3,82,Hold,2023-03-07,2023-06-08,False
149,16,4045.587105190264,12.825207502121565,Manager,True,12,106,Shipped,2023-05-31,2023-12-04,False
150,13,6483.0257766268605,11.707269057479792,Senior Manager,True,19,80,In Progress,2023-03-06,2023-07-13,False
151,21,2285.5131863480924,12.406365859685616,Manager,False,8,15,Shipped,2022-10-05,2022-11-08,False
152,22,9003.455053244135,14.094887334581855,Manager,True,13,47,In Progress,2022-05-11,2023-08-24,False
153,1,406.07287240103733,7.639993988884796,Senior Manager,False,13,91,Hold,2022-03-02,2022-10-25,False
154,20,2529.059846432895,26.393586390233217,Manager,True,16,7,Cancelled,2023-11-29,2023-12-03,False
155,20,4837.413324258227,1.1348239297356066,Employee,False,1,74,Shipped,2023-10-31,2023-12-23,False
156,24,3398.976177788828,0.04138589732262221,Senior Manager,False,14,101,Cancelled,2022-07-24,2022-08-18,False
157,8,4288.538565461417,9.784802125326348,Employee,False,5,19,Ordered,2023-06-26,2023-11-14,False
158,10,1017.8667112262528,15.540846811970992,Manager,True,13,5,Invoiced,2023-03-12,2023-03-26,False
159,21,2422.784397602245,26.594702731513173,Employee,False,19,42,Cancelled,2022-06-16,2023-11-04,False
160,24,7691.851651649269,17.438271652323323,Employee,True,24,120,Ordered,2023-07-20,2023-12-03,False
161,2,3163.4312219360095,7.307117045626375,Senior Manager,False,14,87,Invoiced,2023-10-20,2023-10-28,False
162,19,9708.17383987487,28.35585102671933,Senior Manager,True,17,21,Ordered,2022-11-05,2023-02-22,False
163,23,3882.474634060335,15.843001574592673,Employee,True,1,67,Hold,2023-10-01,2023-12-07,False
164,24,6290.952880744975,19.3562808139399,Employee,True,16,56,Cancelled,2023-03-12,2023-10-27,False
165,18,1860.6098703377215,6.841488798128146,Employee,False,3,9,Ordered,2022-09-05,2023-09-06,False
166,17,2852.138399244683,4.891116047259569,Senior Manager,True,18,36,Hold,2023-11-12,2023-12-22,False
167,16,3695.038738653682,9.994322172064422,Manager,True,24,5,Shipped,2022-08-07,2023-01-18,False
168,6,8371.817284937064,27.048384442826205,Manager,True,15,63,Invoiced,2022-11-15,2023-08-30,False
169,24,9066.248867883955,18.8491386368446,Employee,True,11,73,Ordered,2022-07-26,2023-12-22,False
170,11,2534.9133089577067,14.516283512710169,Employee,True,23,53,Cancelled,2023-11-03,2023-11-11,False
171,5,1760.9832929973943,25.835856633825426,Manager,True,14,61,Hold,2023-07-24,2023-11-13,False
172,21,5719.721139603795,23.942816895378677,Employee,True,13,34,Cancelled,2023-03-03,2023-10-25,False
173,19,5444.307041246718,18.544230422900874,Employee,False,7,37,Cancelled,2022-05-19,2023-02-14,False
174,2,2092.762870858215,18.96444038446845,Senior Manager,False,5,34,Shipped,2023-05-02,2023-08-10,False
175,9,6891.673718892537,0.6257257414852158,Senior Manager,True,22,54,Invoiced,2022-01-22,2022-10-01,False
176,7,3388.8790477812618,2.642004312897032,Senior Manager,True,14,1,Invoiced,2022-06-02,2023-09-22,False
177,8,5627.685940875376,19.947389643599376,Employee,False,2,66,Invoiced,2022-03-15,2023-07-28,False
178,19,372.988014562052,26.580668453950327,Employee,False,9,120,Hold,2022-11-07,2023-11-06,False
179,24,9003.364942915507,12.273896070969096,Manager,True,17,82,Cancelled,2022-03-23,2023-03-12,False
180,15,8202.602975844084,13.67307903410136,Senior Manager,False,10,91,Hold,2023-11-21,2023-12-11,False
181,18,995.3065748866317,8.10533117653363,Employee,False,5,15,Cancelled,2023-06-05,2023-12-02,False
182,7,134.33768156217482,2.4803802052747237,Employee,False,14,57,Shipped,2022-03-02,2022-05-28,False
183,11,3625.422902197088,18.79751386854667,Senior Manager,False,24,26,Cancelled,2022-05-27,2022-10-25,False
184,22,8601.100634041777,27.30566247595166,Manager,True,4,64,Hold,2023-12-04,2023-12-11,False
185,19,7625.621499291745,29.669961517614404,Senior Manager,False,1,64,Ordered,2022-03-22,2022-09-09,False
186,16,8122.378657894761,2.9367214302470943,Senior Manager,False,5,81,Hold,2023-02-11,2023-12-05,False
187,14,6594.212341969011,25.357864012059828,Manager,False,14,79,Ordered,2023-07-16,2023-12-16,False
188,13,4787.921608590674,9.448553822235684,Manager,False,1,119,Ordered,2022-09-10,2023-04-25,False
189,20,4909.757009743815,15.545862837342334,Employee,True,6,81,Hold,2023-02-06,2023-08-15,False
190,13,6053.573781471046,16.36603870099469,Manager,False,9,66,Shipped,2022-09-13,2022-10-20,False
191,8,6114.9497021643465,8.708030801170787,Employee,True,4,76,Cancelled,2022-01-15,2022-05-18,False
192,20,1075.8815640954629,22.45883281675538,Manager,True,16,15,Ordered,2022-10-31,2022-11-06,False
193,19,3293.506385397116,18.95414229680276,Manager,True,11,38,Ordered,2022-10-05,2022-12-11,False
194,13,4912.762082532632,14.88596641558934,Senior Manager,False,7,8,Ordered,2023-01-27,2023-08-28,False
195,3,5220.187715048867,21.875383457004926,Employee,True,15,54,Hold,2023-10-24,2023-11-12,False
196,17,8788.276464699873,18.01414111556483,Employee,True,22,89,Ordered,2023-12-28,2023-12-29,False
197,24,3547.932919972944,27.631526483921654,Senior Manager,False,24,75,Cancelled,2022-05-22,2023-08-29,False
198,13,3475.134144716,26.663226926607607,Senior Manager,True,24,57,Cancelled,2023-10-22,2023-10-28,False
199,22,6007.775184118498,9.492362737425298,Employee,True,23,8,Cancelled,2022-03-02,2023-06-30,False
200,7,4774.964849675781,27.873933439157877,Manager,True,17,87,Hold,2022-01-28,2022-11-14,False
201,19,1481.025716448695,21.858267943554036,Employee,True,18,33,Invoiced,2022-12-22,2023-03-04,False
202,14,8005.938959251212,21.773689743794616,Senior Manager,False,17,28,Cancelled,2023-05-15,2023-11-11,False
203,7,7275.691180670826,2.126320652043826,Manager,True,9,105,Shipped,2023-10-14,2023-10-29,False
204,23,5322.719987058224,5.296833722021943,Manager,True,19,23,Hold,2023-07-06,2023-10-10,False
205,10,4153.135897593671,24.49592499710571,Senior Manager,False,24,115,Invoiced,2023-09-17,2023-10-28,False
206,13,1814.9869015670474,28.07305018955942,Senior Manager,False,8,86,Shipped,2023-02-14,2023-07-21,False
207,21,7267.425085026246,10.073437603572089,Employee,True,3,118,Shipped,2022-05-16,2022-05-22,False
208,18,931.3412002531925,22.697637012129487,Senior Manager,False,3,20,Cancelled,2022-10-03,2022-12-20,False
209,3,2881.353195961639,18.183822666616162,Employee,False,10,33,Hold,2023-07-30,2023-10-09,False
210,3,9083.888195424415,6.900333418598547,Senior Manager,False,2,87,Ordered,2023-11-11,2023-11-13,False
211,24,8252.06731096478,29.709074800469033,Senior Manager,True,5,69,Cancelled,2022-07-28,2023-10-18,False
212,22,1118.1568135124357,4.279993453867782,Manager,False,6,102,Shipped,2023-12-05,2023-12-11,False
213,14,9564.258538955295,7.1405379093679375,Senior Manager,True,14,95,In Progress,2023-02-14,2023-07-24,False
214,4,1837.5517632628967,12.298885113249504,Manager,False,21,107,Hold,2023-02-26,2023-08-02,False
215,11,7206.068930758701,4.886500221561361,Senior Manager,False,15,78,Hold,2022-02-11,2022-12-23,False
216,12,1718.7265633255067,2.64062397874838,Senior Manager,False,4,116,Invoiced,2023-12-07,2023-12-14,False
217,1,4535.78604465256,24.84985830113506,Manager,False,9,77,In Progress,2022-03-19,2022-05-29,False
218,16,433.94835350021583,8.401298605197185,Senior Manager,False,1,90,Shipped,2022-08-14,2023-04-03,False
219,21,4736.84749624314,29.031990134533395,Senior Manager,False,15,67,Shipped,2022-04-27,2023-04-15,False
220,2,7444.639175605732,8.105905680835638,Employee,True,23,45,Hold,2022-10-23,2023-04-01,False
221,3,1752.0077294780804,0.7992755749604497,Employee,False,4,12,Cancelled,2022-11-17,2022-12-19,False
222,2,2230.7068581200815,0.9347373105520829,Manager,True,3,39,Ordered,2023-05-26,2023-06-10,False
223,10,584.7516154789189,10.106073813541132,Senior Manager,False,4,73,Cancelled,2023-06-02,2023-10-29,False
224,18,5998.476690500705,0.28234369709978946,Employee,True,2,11,Hold,2023-06-02,2023-08-24,False
225,12,3053.3323672725355,16.985526294775465,Employee,True,5,95,Hold,2022-07-03,2023-03-13,False
226,5,6823.147984523,10.504302447613362,Employee,True,15,100,Invoiced,2022-11-12,2023-12-11,False
227,24,7469.084437793251,10.33192341616097,Senior Manager,False,4,50,Ordered,2023-03-25,2023-12-07,False
228,14,6332.465700343369,5.9012876365754074,Senior Manager,False,1,32,Cancelled,2023-06-14,2023-08-07,False
229,21,7578.990099061529,5.688836332613922,Manager,True,19,10,Invoiced,2023-07-10,2023-09-21,False
230,13,1125.791053381217,4.730410604882254,Manager,True,8,84,Hold,2023-10-31,2023-11-04,False
231,6,6017.807968736201,19.709599412388304,Manager,False,20,78,In Progress,2022-01-20,2023-08-02,False
232,20,615.4449081189075,7.901833441450919,Senior Manager,True,7,62,Cancelled,2022-03-25,2022-12-05,False
233,16,5354.972456411287,14.403899335144944,Senior Manager,False,24,28,Hold,2022-04-05,2023-10-02,False
234,15,525.0263827888327,25.091843116950947,Employee,True,6,113,Ordered,2022-12-29,2023-02-05,False
235,8,6729.8033353950705,21.626418529952765,Senior Manager,False,14,40,Shipped,2023-12-08,2023-12-23,False
236,11,3569.35016672932,0.5975099130024031,Senior Manager,False,7,24,Shipped,2022-10-15,2023-12-26,False
237,2,7285.307230355018,18.617031718973287,Employee,True,18,100,Shipped,2023-02-10,2023-12-18,False
238,1,4347.876491840288,21.312871846879453,Employee,True,23,85,Invoiced,2022-05-15,2022-10-05,False
239,4,294.4886624200437,23.22617745251145,Senior Manager,False,16,9,Invoiced,2023-07-30,2023-11-19,False
240,1,1721.8532332418526,10.054920856458498,Manager,False,17,29,Shipped,2023-05-26,2023-05-30,False
241,17,8394.537418048847,20.80748879631671,Manager,False,24,54,In Progress,2023-08-07,2023-11-18,False
242,2,7511.293577231726,6.929140367754666,Employee,True,21,100,Invoiced,2022-10-15,2022-11-25,False
243,7,7362.405753582063,10.823671273042123,Employee,False,6,16,Cancelled,2023-11-30,2023-12-04,False
244,3,3226.615350802129,0.5069396549294336,Manager,False,17,44,Hold,2023-09-17,2023-09-30,False
245,16,7231.2925608297755,6.122019181817313,Employee,False,11,119,Ordered,2023-04-08,2023-06-16,False
246,4,8108.730016932095,27.400907354537928,Manager,False,16,110,Cancelled,2023-10-27,2023-12-30,False
247,13,7945.1025660056075,1.7852229832843902,Senior Manager,False,8,76,Invoiced,2022-04-16,2023-10-29,False
248,2,2970.454534343741,5.651713945093192,Manager,True,9,31,Invoiced,2023-06-24,2023-11-07,False
249,9,2478.0755548135453,15.107132597554152,Employee,True,1,17,Cancelled,2023-10-03,2023-11-08,False
250,1,8015.359181966558,27.046913297087865,Manager,False,1,52,Ordered,2022-03-23,2023-06-01,False
251,19,2264.1048839635373,7.494285060616612,Manager,True,7,1,Invoiced,2022-01-25,2023-12-03,False
252,15,3257.797900653632,25.560227000331036,Senior Manager,False,19,112,Cancelled,2022-11-10,2023-07-25,False
253,18,1828.9156889188762,27.089905730290397,Manager,True,16,79,Hold,2022-08-07,2023-05-10,False
254,12,4918.842893843004,21.351522937357107,Senior Manager,False,6,29,Ordered,2023-01-24,2023-08-10,False
255,8,8206.53685428685,28.109292843270346,Employee,True,21,50,Cancelled,2023-07-13,2023-09-18,False
256,15,5250.5549673226915,23.804454945873445,Employee,True,18,20,Cancelled,2022-09-25,2023-11-14,False
257,7,704.6465525806581,8.94590250091431,Senior Manager,False,13,18,Invoiced,2023-09-19,2023-11-20,False
258,3,6410.563467858914,3.4925106243301807,Employee,False,7,86,Cancelled,2022-06-15,2023-09-25,False
259,5,9447.146949233505,1.2915719117971747,Senior Manager,True,21,70,Ordered,2023-06-23,2023-11-03,False
260,17,3345.6807711241286,5.3397977103215135,Employee,True,1,118,Hold,2022-11-23,2023-04-16,False
261,13,3497.5218092216214,20.254150988768995,Manager,False,4,13,Invoiced,2023-10-06,2023-11-25,False
262,16,7199.53530030571,16.668184602095938,Manager,False,18,66,Cancelled,2022-10-14,2022-10-16,False
